-98.7022 -4622441
-96.89784 -4370268
-94.82679 -4092327
-94.79495 -4088148
-94.23879 -4015622
-94.02628 -3988137
-92.42414 -3784950
-92.29231 -3768546
-85.36717 -2971861
-85.2725 -2961831
-83.15398 -2743241
-82.4979 -2677797
-82.06472 -2635161
-79.15356 -2360312
-77.6959 -2230179
-76.06754 -2090562
-73.27034 -1864544
-72.87946 -1834322
-67.14844 -1427953
-63.25542 -1189282
-62.85439 -1166327
-62.38008 -1139561
-61.22677 -1076192
-56.71791 -850985.6
-54.1259 -737006.8
-53.27593 -701975.9
-50.6185 -599639.7
-48.36452 -521057.1
-46.79405 -470568.5
-46.51753 -462030.6
-42.28896 -344025
-41.05656 -313874.7
-38.4521 -256053.5
-36.55179 -218669.8
-34.97908 -190630.7
-30.05746 -118513.4
-29.87697 -116288.2
-27.72444 -91855.83
-26.47485 -79378.61
-22.90068 -50009.21
-20.96172 -37632.85
-19.1674 -28163.57
-13.40015 -8570.997
-12.12396 -6073.343
-11.92777 -5737.981
-11.61174 -5223.555
-10.19435 -3284.07
-8.207977 -1452.223
-7.180943 -842.1647
-7.046486 -776.8487
-3.516571 36.07452
-1.509281 38.61831
0.5676325 13.3335
1.682258 80.52693
3.594647 474.9654
4.162476 685.3101
4.890396 1032.525
5.34117 1295.877
7.854717 3579.717
17.74553 33878.63
19.20475 42373.75
21.28449 56764.21
22.96581 70524.31
24.47466 84618.48
25.55246 95756.58
26.30548 104090.8
27.45791 117758
27.9256 123628.5
30.68763 162306.3
30.94806 166320.6
35.71224 251863.4
38.80985 320787.4
39.25207 331547.1
43.16438 437390
46.11491 530611.1
49.33972 646678.8
49.78452 663904.4
53.43007 816741.6
54.35649 858999.1
54.47171 864354.2
54.51441 866344.2
56.61843 968238.8
63.75794 1372957
66.32349 1542107
70.04865 1811605
70.42617 1840548
70.44336 1841873
71.12065 1894593
72.03506 1967351
72.9336 2040638
76.34697 2335606
79.91565 2673023
80.17525 2698762
82.00237 2884604
82.28105 2913679
82.87478 2976271
88.48934 3613038
91.58 3999444
93.69769 4279513
98.13601 4908277
